#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192925.401;20180614-192924.761;37.7865067;-122.401924;64;46.5;244.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192925.884;20180614-192925.757;37.7863159;-122.402306;24;243.9;254.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192926.384;20180614-192925.757;37.7863159;-122.402306;24;243.9;247;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192926.885;20180614-192926.735;37.786396;-122.402458;32;297.8;248;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192927.385;20180614-192926.735;37.786396;-122.402458;32;297.8;246.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192927.885;20180614-192927.640;37.78641;-122.402481;24;301.3;245.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192928.385;20180614-192927.640;37.78641;-122.402481;24;301.3;254.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192928.886;20180614-192927.640;37.78641;-122.402481;24;301.3;244.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192929.386;20180614-192929.000;37.7864265;-122.402504;16;305.7;252.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192929.889;20180614-192929.000;37.7864265;-122.402504;16;305.7;247.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192930.387;20180614-192930.000;37.78643;-122.4025;16;305.7;252.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192930.887;20180614-192930.000;37.78643;-122.4025;16;305.7;242.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192931.387;20180614-192931.000;37.7864342;-122.402489;12;62.8;248.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192931.887;20180614-192931.000;37.7864342;-122.402489;12;62.8;249.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192932.387;20180614-192932.000;37.7864151;-122.402481;12;157.3;256.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192932.888;20180614-192932.000;37.7864151;-122.402481;12;157.3;249.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192933.388;20180614-192933.000;37.78641;-122.402458;12;102.5;254.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192933.889;20180614-192933.000;37.78641;-122.402458;12;102.5;249.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192934.389;20180614-192934.000;37.7864075;-122.402458;12;102.5;251.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192934.888;20180614-192934.000;37.7864075;-122.402458;12;102.5;248.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192935.389;20180614-192935.000;37.7864075;-122.402458;8;102.5;252.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192935.889;20180614-192935.000;37.7864075;-122.402458;8;102.5;255.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192936.390;20180614-192936.000;37.7864037;-122.402458;8;102.5;250;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192936.890;20180614-192936.000;37.7864037;-122.402458;8;102.5;255.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192937.390;20180614-192937.000;37.786396;-122.402451;8;153.4;247.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192937.890;20180614-192937.000;37.786396;-122.402451;8;153.4;257;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192938.391;20180614-192938.000;37.7863846;-122.402458;8;211.6;247;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192938.891;20180614-192938.000;37.7863846;-122.402458;8;211.6;253.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192939.391;20180614-192939.000;37.78617;-122.40255;8;203.2;241.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192939.891;20180614-192939.000;37.78617;-122.40255;8;203.2;250.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192940.391;20180614-192940.000;37.7861;-122.402557;8;185.7;237.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192940.892;20180614-192940.000;37.7861;-122.402557;8;185.7;253.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192941.392;20180614-192941.000;37.78606;-122.40255;16;170.1;252;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192941.892;20180614-192941.000;37.78606;-122.40255;16;170.1;262.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192942.392;20180614-192942.000;37.7860527;-122.40255;16;170.1;257.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192942.893;20180614-192942.000;37.7860527;-122.40255;16;170.1;260.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192943.393;20180614-192943.000;37.78605;-122.402542;16;141.3;252.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192943.894;20180614-192943.000;37.78605;-122.402542;16;141.3;253.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192944.427;20180614-192944.000;37.7860451;-122.402542;16;141.3;250.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192944.928;20180614-192944.000;37.7860451;-122.402542;16;141.3;249.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192945.428;20180614-192944.000;37.7860451;-122.402542;16;141.3;251.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192945.928;20180614-192944.000;37.7860451;-122.402542;16;141.3;253.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192946.461;20180614-192946.000;37.78604;-122.402534;16;141.3;254.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192946.962;20180614-192946.000;37.78604;-122.402534;16;141.3;250.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192947.462;20180614-192946.000;37.78604;-122.402534;16;141.3;253.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192947.962;20180614-192946.000;37.78604;-122.402534;16;141.3;243.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192948.462;20180614-192948.000;37.7860146;-122.402519;16;149.4;249.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192948.962;20180614-192948.000;37.7860146;-122.402519;16;149.4;237.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192949.465;20180614-192949.000;37.7859879;-122.4025;16;144.6;248.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192949.963;20180614-192949.000;37.7859879;-122.4025;16;144.6;233.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192950.463;20180614-192950.000;37.7859726;-122.402489;16;144.3;245.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192950.964;20180614-192950.000;37.7859726;-122.402489;16;144.3;241.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192951.464;20180614-192951.000;37.7859459;-122.402481;16;163.3;250.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192951.964;20180614-192951.000;37.7859459;-122.402481;16;163.3;242.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192952.464;20180614-192952.000;37.785923;-122.402473;16;160.7;246.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192952.964;20180614-192952.000;37.785923;-122.402473;16;160.7;245.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192953.465;20180614-192953.000;37.7859;-122.402473;16;180;249.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192953.965;20180614-192953.000;37.7859;-122.402473;16;180;247.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192954.465;20180614-192954.000;37.7858849;-122.402473;16;180;249.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192954.965;20180614-192954.000;37.7858849;-122.402473;16;180;252.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192955.465;20180614-192955.000;37.78587;-122.402481;16;208.2;247.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192955.968;20180614-192955.000;37.78587;-122.402481;16;208.2;252.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192956.466;20180614-192956.000;37.785862;-122.402481;16;208.2;244.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192956.967;20180614-192956.000;37.785862;-122.402481;16;208.2;251.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192957.467;20180614-192957.000;37.78585;-122.402481;32;180;240.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192957.967;20180614-192957.000;37.78585;-122.402481;32;180;248.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192958.467;20180614-192957.000;37.78585;-122.402481;32;180;233.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192958.968;20180614-192957.000;37.78585;-122.402481;32;180;245.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-192959.468;20180614-192959.000;37.78584;-122.402466;32;123.7;238.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-192959.968;20180614-192959.000;37.78584;-122.402466;32;123.7;248.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193000.469;20180614-193000.000;37.7858353;-122.402458;32;123.7;238.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193000.968;20180614-193000.000;37.7858353;-122.402458;32;123.7;246.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193001.468;20180614-193001.000;37.7858238;-122.402451;32;137.2;241.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193001.969;20180614-193001.000;37.7858238;-122.402451;32;137.2;244.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193002.470;20180614-193002.000;37.7858162;-122.402451;32;137.2;242.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193002.970;20180614-193002.000;37.7858162;-122.402451;32;137.2;239.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193003.470;20180614-193003.000;37.7858238;-122.402458;32;137.2;244.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193003.970;20180614-193003.000;37.7858238;-122.402458;32;137.2;239.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
