#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180524-163505.787;20180524-163427.922;60.19188000;24.96858220;34.0;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163506.249;20180524-163427.922;60.19188000;24.96858220;34.0;313.5;313.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163506.749;20180524-163427.922;60.19188000;24.96858220;34.0;349.1;349.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163507.254;20180524-163427.922;60.19188000;24.96858220;34.0;308.9;308.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163507.757;20180524-163427.922;60.19188000;24.96858220;34.0;336.6;336.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163508.256;20180524-163427.922;60.19188000;24.96858220;34.0;288.9;288.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163508.757;20180524-163427.922;60.19188000;24.96858220;34.0;325.7;325.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163509.258;20180524-163427.922;60.19188000;24.96858220;34.0;309.8;309.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163509.760;20180524-163427.922;60.19188000;24.96858220;34.0;328.4;328.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163510.256;20180524-163510.533;60.19185260;24.96877670;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163510.761;20180524-163510.533;60.19185260;24.96877670;4.0;331.0;331.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163511.259;20180524-163512.000;60.19185640;24.96873660;4.0;344.2;344.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163511.761;20180524-163512.000;60.19185640;24.96873660;4.0;317.6;317.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163512.282;20180524-163513.000;60.19181000;24.96869660;4.0;255.6;336.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
