#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-160022.128;20180516-160022.000;48.35731967;15.61056602;3.2;195.2;145.5;3.4;True;13;20
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-160022.601;20180516-160022.000;48.35731967;15.61056602;3.2;195.2;146.0;3.4;True;13;20
True;False;True;False;gps;DeviceLocationProviderAndroidNative;20180516-160023.104;20180516-160023.000;48.35730900;15.61056956;3.2;195.2;134.4;3.9;True;13;20
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-160023.615;20180516-160023.000;48.35730900;15.61056956;3.2;195.2;145.5;3.9;True;13;20
True;False;True;False;gps;DeviceLocationProviderAndroidNative;20180516-160024.117;20180516-160024.000;48.35729953;15.61057591;3.2;195.2;156.5;4.0;True;13;20
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-160024.618;20180516-160024.000;48.35729953;15.61057591;3.2;195.2;140.4;4.0;True;13;20
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-160025.121;20180516-160025.000;48.35729119;15.61058150;3.2;152.1;149.7;3.2;True;14;21
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-160025.623;20180516-160025.000;48.35729119;15.61058150;3.2;152.1;145.2;3.2;True;14;21
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-160026.127;20180516-160026.000;48.35728328;15.61058764;3.2;151.9;88.8;4.4;True;13;21
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-160026.634;20180516-160026.000;48.35728328;15.61058764;3.2;151.9;145.9;4.4;True;13;21
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-160027.136;20180516-160027.000;48.35727312;15.61059510;3.2;148.8;146.7;5.3;True;12;20
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-160027.638;20180516-160027.000;48.35727312;15.61059510;3.2;148.8;146.4;5.3;True;12;20
True;False;True;False;gps;DeviceLocationProviderAndroidNative;20180516-160028.138;20180516-160028.000;48.35726257;15.61060151;3.2;148.8;142.5;3.8;True;12;20
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-160028.641;20180516-160028.000;48.35726257;15.61060151;3.2;148.8;154.7;3.8;True;12;20
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-160029.146;20180516-160029.000;48.35725369;15.61060649;3.2;145.3;153.3;3.3;True;13;21
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-160029.653;20180516-160029.000;48.35725369;15.61060649;3.2;145.3;145.2;3.3;True;13;21
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-160030.154;20180516-160030.000;48.35724373;15.61061146;3.2;145.9;165.7;3.9;True;13;21
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-160030.656;20180516-160030.000;48.35724373;15.61061146;3.2;145.9;161.0;3.9;True;13;21
