#location service enabled;location service initializing;location updated;heading updated;location provider;location provider class;UTC device;UTC location;lat;lng;accuracy[m];user heading[°];device orientation[°];speed;has gps fix;satellites used;satellites in view
True;False;True;False;gps;DeviceLocationProviderAndroidNative;20180516-145010.210;20180516-145010.000;48.35745406;15.61055130;4.3;176.3;160.7;0.0;True;12;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145010.687;20180516-145010.000;48.35745406;15.61055130;4.3;176.3;164.6;0.0;True;12;19
True;False;True;False;gps;DeviceLocationProviderAndroidNative;20180516-145011.190;20180516-145011.000;48.35745240;15.61054847;4.3;176.3;162.6;0.0;True;12;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145011.695;20180516-145011.000;48.35745240;15.61054847;4.3;176.3;162.8;0.0;True;12;19
True;False;True;False;gps;DeviceLocationProviderAndroidNative;20180516-145012.201;20180516-145012.000;48.35745226;15.61054321;4.3;176.3;157.9;0.0;True;11;18
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145012.703;20180516-145012.000;48.35745226;15.61054321;4.3;176.3;144.5;0.0;True;11;18
True;False;True;False;gps;DeviceLocationProviderAndroidNative;20180516-145013.206;20180516-145013.000;48.35744953;15.61054411;4.3;176.3;159.5;0.0;True;11;18
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145013.708;20180516-145013.000;48.35744953;15.61054411;4.3;176.3;146.4;0.0;True;11;18
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145014.215;20180516-145014.000;48.35743621;15.61054889;3.2;176.6;150.1;4.0;True;12;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145014.717;20180516-145014.000;48.35743621;15.61054889;3.2;176.6;152.6;4.0;True;12;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145015.222;20180516-145015.000;48.35742299;15.61055153;3.2;176.1;137.8;3.6;True;11;17
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145015.723;20180516-145015.000;48.35742299;15.61055153;3.2;176.1;144.9;3.6;True;11;17
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145016.225;20180516-145016.000;48.35740993;15.61055714;3.2;160.6;152.0;3.5;True;12;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145016.727;20180516-145016.000;48.35740993;15.61055714;3.2;160.6;146.6;3.5;True;12;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145017.230;20180516-145017.000;48.35739649;15.61056570;3.2;146.5;149.3;4.2;True;12;18
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145017.734;20180516-145017.000;48.35739649;15.61056570;3.2;146.5;151.6;4.2;True;12;18
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145018.237;20180516-145018.000;48.35738613;15.61057465;3.2;140.2;154.3;3.3;True;13;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145018.741;20180516-145018.000;48.35738613;15.61057465;3.2;140.2;137.6;3.3;True;13;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145019.251;20180516-145019.000;48.35737374;15.61058553;4.3;134.2;142.8;5.1;True;13;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145019.748;20180516-145019.000;48.35737374;15.61058553;4.3;134.2;154.4;5.1;True;13;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145020.248;20180516-145020.000;48.35735991;15.61059594;3.2;133.2;139.7;4.6;True;13;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145020.750;20180516-145020.000;48.35735991;15.61059594;3.2;133.2;153.7;4.6;True;13;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145021.254;20180516-145021.000;48.35734613;15.61060126;3.2;133.6;148.4;4.1;True;13;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145021.761;20180516-145021.000;48.35734613;15.61060126;3.2;133.6;153.8;4.1;True;13;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145022.265;20180516-145022.000;48.35732990;15.61060454;3.2;130.4;134.9;4.8;True;13;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145022.766;20180516-145022.000;48.35732990;15.61060454;3.2;130.4;159.3;4.8;True;13;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145023.266;20180516-145023.000;48.35731841;15.61061342;3.2;138.5;168.1;4.6;True;13;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145023.771;20180516-145023.000;48.35731841;15.61061342;3.2;138.5;166.6;4.6;True;13;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145024.274;20180516-145024.000;48.35730619;15.61062081;3.2;138.8;193.6;4.7;True;12;18
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145024.778;20180516-145024.000;48.35730619;15.61062081;3.2;138.8;213.1;4.7;True;12;18
True;False;True;False;gps;DeviceLocationProviderAndroidNative;20180516-145025.282;20180516-145025.000;48.35729452;15.61062848;3.2;138.8;196.4;4.4;True;11;17
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145025.783;20180516-145025.000;48.35729452;15.61062848;3.2;138.8;205.7;4.4;True;11;17
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145026.287;20180516-145026.000;48.35728354;15.61063659;3.2;138.5;229.0;4.8;True;13;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145026.788;20180516-145026.000;48.35728354;15.61063659;3.2;138.5;196.7;4.8;True;13;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145027.289;20180516-145027.000;48.35727170;15.61064493;3.2;144.8;158.8;4.5;True;13;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145027.795;20180516-145027.000;48.35727170;15.61064493;3.2;144.8;179.8;4.5;True;13;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145028.299;20180516-145028.000;48.35726004;15.61065054;3.2;145.6;158.7;4.2;True;13;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145028.803;20180516-145028.000;48.35726004;15.61065054;3.2;145.6;166.0;4.2;True;13;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145029.305;20180516-145029.000;48.35724980;15.61065545;3.2;145.2;112.8;3.3;True;13;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145029.807;20180516-145029.000;48.35724980;15.61065545;3.2;145.2;166.8;3.3;True;13;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145030.308;20180516-145030.000;48.35723823;15.61066093;3.2;174.0;186.1;4.6;True;12;18
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145030.812;20180516-145030.000;48.35723823;15.61066093;3.2;174.0;200.3;4.6;True;12;18
True;False;True;False;gps;DeviceLocationProviderAndroidNative;20180516-145031.315;20180516-145031.000;48.35722432;15.61066546;3.2;174.0;198.2;4.9;True;13;19
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145031.821;20180516-145031.000;48.35722432;15.61066546;3.2;174.0;201.3;4.9;True;13;19
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145032.324;20180516-145032.000;48.35721033;15.61066460;3.2;173.9;210.5;4.7;True;12;18
True;False;False;False;gps;DeviceLocationProviderAndroidNative;20180516-145032.824;20180516-145032.000;48.35721033;15.61066460;3.2;173.9;221.9;4.7;True;12;18
True;False;True;True;gps;DeviceLocationProviderAndroidNative;20180516-145033.329;20180516-145033.000;48.35719815;15.61065819;3.2;211.4;230.2;4.4;True;13;19
