#location service enabled;location service initializing;location updated;heading updated;location provider;location provider class;UTC device;UTC location;lat;lng;accuracy[m];user heading[°];device orientation[°];speed;has gps fix;satellites used;satellites in view
True;False;False;False;unity;DeviceLocationProvider;20180516-132426.627;20180516-132426.000;48.35740280;15.61054710;4.0;20.0;172.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132426.638;20180516-132426.000;48.35740280;15.61054710;4.0;20.0;169.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132426.669;20180516-132426.000;48.35740280;15.61054710;4.0;20.0;169.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132426.702;20180516-132426.000;48.35740280;15.61054710;4.0;20.0;176.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132426.736;20180516-132426.000;48.35740280;15.61054710;4.0;20.0;174.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132426.770;20180516-132426.000;48.35740280;15.61054710;4.0;20.0;167.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132426.803;20180516-132426.000;48.35740280;15.61054710;4.0;20.0;174.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132426.836;20180516-132426.000;48.35740280;15.61054710;4.0;20.0;175.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132426.870;20180516-132426.000;48.35740280;15.61054710;4.0;20.0;171.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132426.903;20180516-132426.000;48.35740280;15.61054710;4.0;20.0;173.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132426.937;20180516-132426.000;48.35740280;15.61054710;4.0;20.0;174.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132426.971;20180516-132426.000;48.35740280;15.61054710;4.0;20.0;171.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;False;unity;DeviceLocationProvider;20180516-132427.004;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;175.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.038;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;173.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.071;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;175.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.104;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;174.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.138;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;175.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.172;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;172.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.207;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;173.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.239;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;176.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.272;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;174.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.306;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;174.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.339;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;175.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.373;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;172.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.406;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;174.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.440;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;172.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.474;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;170.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.506;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;170.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.540;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;174.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.574;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;171.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.607;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;175.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.641;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;169.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.674;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;172.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.708;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;172.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.741;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;175.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.777;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;171.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.808;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;177.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.841;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;175.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.876;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;172.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.909;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;170.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.942;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;171.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132427.976;20180516-132427.000;48.35740280;15.61054710;4.0;20.0;175.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;False;unity;DeviceLocationProvider;20180516-132428.009;20180516-132428.000;48.35740280;15.61054710;4.0;20.0;171.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132428.043;20180516-132428.000;48.35740280;15.61054710;4.0;20.0;174.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132428.077;20180516-132428.000;48.35740280;15.61054710;4.0;20.0;169.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132428.112;20180516-132428.000;48.35740280;15.61054710;4.0;20.0;175.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132428.144;20180516-132428.000;48.35740280;15.61054710;4.0;20.0;174.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132428.179;20180516-132428.000;48.35740280;15.61054710;4.0;20.0;174.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180516-132428.211;20180516-132428.000;48.35740280;15.61054710;4.0;20.0;171.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
