#location service enabled;location service initializing;location updated;heading updated;location provider;location provider class;UTC device;UTC location;lat;lng;accuracy[m];user heading[°];device orientation[°];speed;has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180516-102242.134;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;304.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102242.164;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;308.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102242.197;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;304.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102242.231;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;313.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102242.264;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;303.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102242.298;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;309.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102242.331;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;310.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102242.365;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;315.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102242.398;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;307.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102242.432;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;307.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102242.465;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;305.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
