#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;False;unity;DeviceLocationProvider;20180521-212639.549;20180521-212639.000;37.78862000;-122.39901700;26.0;0.0;43.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212639.986;20180521-212639.000;37.78862000;-122.39901700;26.0;0.0;36.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212640.488;20180521-212639.000;37.78862000;-122.39901700;26.0;0.0;39.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;False;unity;DeviceLocationProvider;20180521-212640.991;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;40.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212641.491;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;41.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212641.991;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;36.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212642.493;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;26.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212642.993;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;38.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212643.495;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;36.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212643.998;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;37.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212644.496;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;41.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212644.999;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;38.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212645.498;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;38.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212646.001;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;37.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212646.500;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;36.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212647.000;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;33.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212647.502;20180521-212641.000;37.78862380;-122.39901700;24.0;0.0;38.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;False;unity;DeviceLocationProvider;20180521-212648.003;20180521-212648.000;37.78862380;-122.39901000;15.0;0.0;38.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212648.504;20180521-212648.000;37.78862380;-122.39901000;15.0;0.0;27.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;False;unity;DeviceLocationProvider;20180521-212649.007;20180521-212649.000;37.78862760;-122.39900000;16.0;0.0;16.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212649.508;20180521-212649.000;37.78862760;-122.39900000;16.0;0.0;33.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;False;unity;DeviceLocationProvider;20180521-212650.008;20180521-212650.000;37.78863530;-122.39899400;16.0;0.0;23.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212650.510;20180521-212650.000;37.78863530;-122.39899400;16.0;0.0;43.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;False;unity;DeviceLocationProvider;20180521-212651.009;20180521-212651.000;37.78864290;-122.39898700;16.0;0.0;42.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;False;unity;DeviceLocationProvider;20180521-212651.510;20180521-212651.000;37.78864290;-122.39898700;16.0;0.0;47.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212652.019;20180521-212652.000;37.78865430;-122.39897900;15.0;40.8;56.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212652.517;20180521-212652.000;37.78865430;-122.39897900;15.0;40.8;58.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212653.013;20180521-212653.000;37.78866580;-122.39897200;16.0;34.9;68.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212653.516;20180521-212653.000;37.78866580;-122.39897200;16.0;34.9;61.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212654.015;20180521-212654.000;37.78867340;-122.39896400;15.0;40.0;58.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212654.517;20180521-212654.000;37.78867340;-122.39896400;15.0;40.0;47.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212655.018;20180521-212655.000;37.78868480;-122.39895600;15.0;37.6;51.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212655.518;20180521-212655.000;37.78868480;-122.39895600;15.0;37.6;49.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212656.020;20180521-212656.000;37.78869250;-122.39894900;15.0;39.9;39.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212656.519;20180521-212656.000;37.78869250;-122.39894900;15.0;39.9;52.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
