#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;True;unity;DeviceLocationProvider;20180521-212904.820;20180521-212905.000;37.78920000;-122.39841500;16.0;300.0;217.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212905.280;20180521-212905.000;37.78920000;-122.39841500;16.0;300.0;217.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212905.776;20180521-212905.000;37.78920000;-122.39841500;16.0;300.0;213.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212906.278;20180521-212905.000;37.78920000;-122.39841500;16.0;300.0;208.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212906.779;20180521-212907.000;37.78919220;-122.39840700;12.0;241.8;198.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212907.282;20180521-212907.000;37.78919220;-122.39840700;12.0;241.8;186.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212907.781;20180521-212908.000;37.78917690;-122.39840700;12.0;209.7;193.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212908.282;20180521-212908.000;37.78917690;-122.39840700;12.0;209.7;188.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212908.784;20180521-212909.000;37.78917000;-122.39840000;11.0;209.7;192.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212909.285;20180521-212909.000;37.78917000;-122.39840000;11.0;209.7;185.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212909.787;20180521-212910.000;37.78915790;-122.39840000;10.0;178.6;195.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212910.289;20180521-212910.000;37.78915790;-122.39840000;10.0;178.6;184.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212910.790;20180521-212911.000;37.78914640;-122.39839200;10.0;153.9;193.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212911.294;20180521-212911.000;37.78914640;-122.39839200;10.0;153.9;193.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212911.791;20180521-212912.000;37.78914000;-122.39838400;10.0;143.6;185.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212912.295;20180521-212912.000;37.78914000;-122.39838400;10.0;143.6;187.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212912.794;20180521-212912.000;37.78914000;-122.39838400;10.0;143.6;185.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212913.295;20180521-212912.000;37.78914000;-122.39838400;10.0;143.6;193.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212913.796;20180521-212914.000;37.78913000;-122.39838400;9.0;157.9;187.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
